Park_Name,Baseball,BMX_Skate,Campground,Day_Use,Football,Golf,Playground,Rugby,Soccer,Tennis,Volleyball
South Cooking Lake Day Use Park,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
New Horizons School,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Suncrest Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Sunflower Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Strathcona Athletic Park,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO
Strathcona Station Park,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
Strathcona Village Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Summerton Park,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
Ash Street Storm Water Management Facility,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Summerwood Lake and Lazy Stream,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Uncas Elementary School,YES,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO
Fairway Crescent,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Summerwood Urban Forest,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Tamarack Water Tower Park,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Rotary Park at Trillium Centre,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
Viewpoint Park,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Village on the Lake,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Village on the Lake Outfall Swale,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Mills Haven Elementary School,YES,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO
Village on the Lake Sports Grounds,NO,NO,NO,,NO,NO,NO,NO,YES,YES,NO
Weslake Beach Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Whitecroft Community Hall,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Wye Community Hall,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Ball Lake Stream,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
BMX Bike Park,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Centennial Wetlands,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Brassie Point Park,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Ecole Pere Kenneth Kearns Catholic School,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
Greengrove Park,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Josephburg Park,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO
Madonna Catholic School,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
Malvern Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
McGhan Park,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO
Ypres Valley Park,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Wye Elementary School,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
Upper Nottingham Lake Park East,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Woodbridge Ravine,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Woodbridge Lake Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Woodbridge Farms Elementary School,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
Westboro Elementary School,YES,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO
Wes Hosford Elementary School,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
Pine Street Elementary School,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
AJ Ottewell Community Centre,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Ministik School,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
Fultonvale Park,YES,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO
Summercourt Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Heritage Hills Retention Pond,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Deermound Dog Off Leash Park,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Heritage Hills Sports Park,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
Cascade Park,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Ridge North Park,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
17th Street Park,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Emerald Hills Regional Park,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO
Salisbury Athletic Park,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO
Foxhaven Park,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Volunteer Plaza,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Ecole Our Lady of Perpetual Help Catholic School,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
Sherwood Heights Junior High School,YES,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO
St. Luke Catholic School,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
Broadmoor Tennis Courts,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
Upper Nottingham Lake Park West,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
15th Street Park,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Foxboro Lake Park,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Heritage Hills Wetland,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Summerwood Creek,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Ardrossan Creekside West,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Ardrossan Recreation Complex,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Strathcona Wilderness Centre,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO
South Cooking Lake Passive Park,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Norcen PUL,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Sherwood Hills Estates Park,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Sherwood Hills Estates East Park,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Ardrossan Creekside East,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Balmoral North Park,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Old Glen Allan PUL,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Costco Retention Pond,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Campbell Park,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Alta Link ROW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
